Simulation Topology 1
___________________________
[4]				[11]		
[5]				[9]		
[8]				[39]		
[5]				[23]		
[0]				[34]		
[9]				[20]		
[5]				[32]		
[6]				[38]		
[0]				[55]		
[9]				[56]		
[7]				[52]		
[5]				[57]		
[7]				[47]		
[5]				[44]		
[3]				[52]		
[0]				[46]		
[4]				[54]		
[9]				[47]		
[6]				[54]		
[7]				[49]		
[2]				[56]		
[4]				[48]		
[1]				[91]		
[8]				[98]		
[1]				[96]		
[9]				[85]		
[4]				[80]		
[6]				[80]		
[6]				[83]		
[9]				[94]		
[8]				[89]		
[3]				[99]		
[1]				[89]		
[7]				[86]		
[4]				[88]		
[7]				[105]		
[4]				[105]		
[8]				[103]		
[3]				[118]		
[8]				[111]		
[5]				[116]		
[1]				[104]		
[8]				[128]		
[6]				[130]		
[7]				[123]		
[0]				[123]		
[4]				[125]		
[5]				[136]		
[0]				[131]		
[4]				[139]		
[5]				[134]		
[1]				[137]		
[6]				[126]		
[7]				[134]		
[5]				[132]		
[9]				[136]		
[7]				[138]		
[2]				[124]		
[3]				[135]		
[4]				[130]		
___________________________
Simulation Topology [1:21]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
___________________________
Simulation Topology [1:22]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
___________________________
Simulation Topology [1:23]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
___________________________
Simulation Topology [1:24]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
  15	 | 	55	 | 	90,45
___________________________
Simulation Topology [1:25]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
  15	 | 	55	 | 	90,45
  26	 | 	43	 | 	50,04
___________________________
Simulation Topology [1:26]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
  15	 | 	55	 | 	90,45
  26	 | 	43	 | 	50,04
  26	 | 	56	 | 	58,08
___________________________
Simulation Topology [1:27]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
  15	 | 	55	 | 	90,45
  26	 | 	43	 | 	50,04
  26	 | 	56	 | 	58,08
  2	 | 	26	 | 	41,19
___________________________
Simulation Topology [1:28]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
  26	 | 	28	 | 	3,61
  27	 | 	39	 | 	31,06
  28	 | 	33	 | 	3,16
  28	 | 	43	 | 	47,00
  30	 | 	32	 | 	7,00
  30	 | 	48	 | 	42,76
  30	 | 	50	 | 	45,10
  31	 | 	47	 | 	37,05
  32	 | 	41	 | 	15,00
  33	 | 	34	 | 	3,61
  34	 | 	54	 | 	44,01
  35	 | 	37	 | 	2,24
  35	 | 	54	 | 	27,07
  36	 | 	41	 | 	3,16
  38	 | 	40	 | 	2,83
  38	 | 	51	 | 	19,10
  40	 | 	41	 | 	12,65
  40	 | 	49	 | 	23,02
  41	 | 	55	 | 	32,98
  42	 | 	43	 | 	2,83
  42	 | 	59	 | 	4,47
  44	 | 	53	 | 	11,00
  44	 | 	54	 | 	9,22
  44	 | 	56	 | 	15,00
  45	 | 	52	 | 	6,71
  45	 | 	59	 | 	8,06
  46	 | 	53	 | 	9,49
  47	 | 	55	 | 	4,00
  50	 | 	56	 | 	4,47
  53	 | 	58	 | 	4,12
  54	 | 	55	 | 	5,66
  57	 | 	58	 | 	11,05
  24	 | 	43	 | 	34,37
  33	 | 	59	 | 	44,10
  15	 | 	55	 | 	90,45
  26	 | 	43	 | 	50,04
  26	 | 	56	 | 	58,08
  2	 | 	26	 | 	41,19
  17	 | 	34	 | 	41,30
___________________________
Simulation Topology [1:29]
___________________________
From 	  To 		Length
___________________________
  0	 | 	1	 | 	2,24
  0	 | 	3	 | 	12,04
  0	 | 	8	 | 	44,18
  1	 | 	25	 | 	76,11
  1	 | 	36	 | 	96,01
  1	 | 	39	 | 	102,04
  2	 | 	31	 | 	60,21
  2	 | 	51	 | 	98,25
  3	 | 	35	 | 	82,02
  3	 | 	53	 | 	111,02
  4	 | 	6	 | 	5,39
  4	 | 	19	 | 	16,55
  5	 | 	7	 | 	18,25
  5	 | 	22	 | 	71,45
  5	 | 	50	 | 	114,07
  6	 | 	33	 | 	54,04
  6	 | 	49	 | 	107,00
  6	 | 	52	 | 	94,01
  7	 | 	13	 | 	6,08
  7	 | 	39	 | 	73,03
  7	 | 	44	 | 	85,01
  8	 | 	10	 | 	7,62
  9	 | 	16	 | 	5,39
  9	 | 	21	 | 	9,43
  9	 | 	30	 | 	33,02
  9	 | 	42	 | 	72,01
  9	 | 	48	 | 	75,54
  10	 | 	18	 | 	2,24
  10	 | 	28	 | 	31,02
  11	 | 	17	 | 	10,77
  11	 | 	32	 | 	32,25
  11	 | 	37	 | 	46,10
  11	 | 	53	 | 	77,03
  12	 | 	19	 | 	2,00
  12	 | 	54	 | 	85,02
  13	 | 	15	 | 	5,39
  13	 | 	23	 | 	54,08
  14	 | 	35	 | 	53,15
  15	 | 	27	 | 	34,53
  18	 | 	21	 | 	6,32
  19	 | 	20	 | 	8,60
  19	 | 	30	 | 	40,01
  19	 | 	59	 | 	81,06
  20	 | 	39	 | 	55,33
  20	 | 	57	 | 	68,00
  21	 | 	27	 | 	32,06
  21	 | 	29	 | 	46,27
  23	 | 	24	 | 	7,28
  24	 | 	25	 | 	13,60
  24	 | 	41	 | 	8,00
