Simulation Topology 1
___________________________
Simulation Topology 2
___________________________
[2]				[8]		
[2]				[4]		
[5]				[8]		
[7]				[6]		
[0]				[7]		
[8]				[9]		
[3]				[1]		
[7]				[1]		
[5]				[21]		
[0]				[29]		
[1]				[26]		
[3]				[23]		
[8]				[22]		
[6]				[42]		
[4]				[42]		
[5]				[40]		
[2]				[48]		
[8]				[41]		
[2]				[56]		
[3]				[51]		
[7]				[58]		
[7]				[55]		
[5]				[51]		
[0]				[56]		
[1]				[59]		
[2]				[53]		
[4]				[55]		
[7]				[67]		
[8]				[65]		
[7]				[69]		
[5]				[60]		
[4]				[69]		
[1]				[61]		
[9]				[67]		
[7]				[61]		
[0]				[71]		
[3]				[77]		
[0]				[73]		
[3]				[74]		
[7]				[74]		
[6]				[78]		
[3]				[79]		
[9]				[77]		
[2]				[70]		
[5]				[75]		
___________________________
Simulation Topology [2:13]
___________________________
From 	  To 		Length
___________________________
  0	 | 	5	 | 	6,08
  23	 | 	43	 | 	14,14
  25	 | 	26	 | 	2,83
  25	 | 	38	 | 	21,02
  27	 | 	29	 | 	2,00
  27	 | 	31	 | 	3,61
  28	 | 	33	 | 	2,24
  29	 | 	33	 | 	2,83
  30	 | 	34	 | 	2,24
  32	 | 	44	 | 	14,56
  35	 | 	42	 | 	10,82
  35	 | 	43	 | 	2,24
  36	 | 	40	 | 	3,16
  36	 | 	42	 | 	6,00
  36	 | 	44	 | 	2,83
  37	 | 	38	 | 	3,16
  37	 | 	43	 | 	3,61
  38	 | 	40	 | 	5,00
  39	 | 	40	 | 	4,12
  41	 | 	44	 | 	4,47
  6	 | 	35	 | 	70,06
  25	 | 	28	 | 	13,42
  3	 | 	24	 | 	53,34
  26	 | 	35	 | 	16,49
  25	 | 	40	 | 	25,32
  9	 | 	23	 | 	27,00
___________________________
Simulation Topology [2:20]
___________________________
From 	  To 		Length
___________________________
  0	 | 	5	 | 	6,08
  0	 | 	33	 | 	59,41
  1	 | 	4	 | 	3,61
  1	 | 	41	 | 	75,01
  2	 | 	3	 | 	2,83
  3	 | 	4	 | 	7,07
  3	 | 	5	 | 	3,16
  3	 | 	36	 | 	71,11
  4	 | 	24	 | 	52,01
  5	 | 	10	 | 	18,38
  5	 | 	34	 | 	52,01
  5	 | 	39	 | 	65,01
  6	 | 	44	 | 	74,03
  7	 | 	9	 | 	28,86
  7	 | 	21	 | 	54,00
  7	 | 	35	 | 	70,35
  7	 | 	36	 | 	76,11
  7	 | 	42	 | 	76,03
  8	 | 	10	 | 	6,40
  8	 | 	12	 | 	3,16
  9	 | 	11	 | 	6,71
  9	 | 	14	 | 	13,60
  9	 | 	25	 | 	24,08
  11	 | 	12	 | 	5,10
  11	 | 	17	 | 	18,68
  11	 | 	42	 | 	54,33
  13	 | 	15	 | 	2,24
  13	 | 	16	 | 	7,21
  14	 | 	15	 | 	2,24
  15	 | 	39	 | 	34,06
  16	 | 	20	 | 	11,18
  17	 | 	29	 | 	28,02
  18	 | 	20	 | 	5,39
  18	 | 	33	 | 	13,04
  18	 | 	40	 | 	22,36
  19	 | 	20	 | 	8,06
  19	 | 	34	 | 	10,77
  20	 | 	42	 | 	19,10
  21	 | 	22	 | 	4,47
  21	 | 	33	 | 	12,17
  22	 | 	26	 | 	4,12
  22	 | 	43	 | 	19,24
  23	 | 	24	 | 	3,16
  23	 | 	43	 | 	14,14
  25	 | 	26	 | 	2,83
  25	 | 	38	 | 	21,02
  27	 | 	29	 | 	2,00
  27	 | 	31	 | 	3,61
  28	 | 	33	 | 	2,24
  29	 | 	33	 | 	2,83
  30	 | 	34	 | 	2,24
  32	 | 	44	 | 	14,56
  35	 | 	42	 | 	10,82
  35	 | 	43	 | 	2,24
  36	 | 	40	 | 	3,16
  36	 | 	42	 | 	6,00
  36	 | 	44	 | 	2,83
  37	 | 	38	 | 	3,16
  37	 | 	43	 | 	3,61
  38	 | 	40	 | 	5,00
  39	 | 	40	 | 	4,12
  41	 | 	44	 | 	4,47
  6	 | 	35	 | 	70,06
  25	 | 	28	 | 	13,42
  3	 | 	24	 | 	53,34
  26	 | 	35	 | 	16,49
  25	 | 	40	 | 	25,32
  9	 | 	23	 | 	27,00
  23	 | 	37	 | 	17,00
___________________________
Simulation Topology [2:21]
___________________________
From 	  To 		Length
___________________________
  0	 | 	5	 | 	6,08
  0	 | 	33	 | 	59,41
  1	 | 	4	 | 	3,61
  1	 | 	41	 | 	75,01
  2	 | 	3	 | 	2,83
  3	 | 	4	 | 	7,07
  3	 | 	5	 | 	3,16
  3	 | 	36	 | 	71,11
  4	 | 	24	 | 	52,01
  5	 | 	10	 | 	18,38
  5	 | 	34	 | 	52,01
  5	 | 	39	 | 	65,01
  6	 | 	44	 | 	74,03
  7	 | 	9	 | 	28,86
  7	 | 	21	 | 	54,00
  7	 | 	35	 | 	70,35
  7	 | 	36	 | 	76,11
  7	 | 	42	 | 	76,03
  8	 | 	10	 | 	6,40
  8	 | 	12	 | 	3,16
  9	 | 	11	 | 	6,71
  9	 | 	14	 | 	13,60
  9	 | 	25	 | 	24,08
  11	 | 	12	 | 	5,10
  11	 | 	17	 | 	18,68
  11	 | 	42	 | 	54,33
  13	 | 	15	 | 	2,24
  13	 | 	16	 | 	7,21
  14	 | 	15	 | 	2,24
  15	 | 	39	 | 	34,06
  16	 | 	20	 | 	11,18
  17	 | 	29	 | 	28,02
  18	 | 	20	 | 	5,39
  18	 | 	33	 | 	13,04
  18	 | 	40	 | 	22,36
  19	 | 	20	 | 	8,06
  19	 | 	34	 | 	10,77
  20	 | 	42	 | 	19,10
  21	 | 	22	 | 	4,47
  21	 | 	33	 | 	12,17
  22	 | 	26	 | 	4,12
  22	 | 	43	 | 	19,24
  23	 | 	24	 | 	3,16
  23	 | 	43	 | 	14,14
  25	 | 	26	 | 	2,83
  25	 | 	38	 | 	21,02
  27	 | 	29	 | 	2,00
  27	 | 	31	 | 	3,61
  28	 | 	33	 | 	2,24
  29	 | 	33	 | 	2,83
  30	 | 	34	 | 	2,24
  32	 | 	44	 | 	14,56
  35	 | 	42	 | 	10,82
  35	 | 	43	 | 	2,24
  36	 | 	40	 | 	3,16
  36	 | 	42	 | 	6,00
  36	 | 	44	 | 	2,83
  37	 | 	38	 | 	3,16
  37	 | 	43	 | 	3,61
  38	 | 	40	 | 	5,00
  39	 | 	40	 | 	4,12
  41	 | 	44	 | 	4,47
  6	 | 	35	 | 	70,06
  25	 | 	28	 | 	13,42
  3	 | 	24	 | 	53,34
  26	 | 	35	 | 	16,49
  25	 | 	40	 | 	25,32
  9	 | 	23	 | 	27,00
  23	 | 	37	 | 	17,00
  30	 | 	39	 | 	14,14
___________________________
